Ironic Man,2.233.808.753,484.998.124,369-Irattos
Wafflesmmm,1.910.041.474,275.542.078,Wafflesmmm
Alan903,1.759.129.890,128.102.789,369-Irattos
Casper24,1.625.493.552,72.036.757,369-Irattos
SERENDlPlTY,1.601.851.239,233.095.314,369-Irattos
Aladdin12,1.556.590.407,851.368.855,369-Irattos
El Gambalor,1.555.734.082,59.554.062,369-Irattos
Devil Asta,1.510.162.772,269.022.292,369-Irattos
Kursat 50,1.445.824.352,3.263.557,369-Irattos
CrocDundeee,1.397.108.584,95.356.299,369-Irattos
Resya,1.364.266.048,424.892.449,369-Irattos
Dzidzi4,1.295.379.548,102.921.219,369-Irattos
Nykn,1.293.723.630,84.227.291,369-Irattos
TrickySanta,1.202.928.444,345.603.918,369-Irattos
L E V I N,1.186.015.611,172.512.792,369-Irattos
sin semilla,1.176.591.880,366.523.769,369-Irattos
karnael,1.153.933.243,138.086.093,369-Irattos
Alma Negra13,1.143.881.332,269.388.471,357-Savozia
Gummi,1.134.819.431,232.154.366,369-Irattos
SirBumbleBee,1.123.680.098,479.938.953,369-Irattos
Shameem,1.098.621.094,131.450.879,369-Irattos
xSmAsHx,1.073.514.339,199.910.721,369-Irattos
A Hooligan,1.062.283.008,286.540.858,369-Irattos
Ddudu ddudu,1.030.349.361,213.238.943,369-Irattos
Justice97,1.022.783.523,337.772.487,369-Irattos
King Scooby,948.040.460,40.181.640,369-Irattos
KoltD,943.341.028,60.772.941,369-Irattos
HappoBerto,924.236.633,459.726.414,369-Irattos
Dear Smile,851.090.237,128.748.516,369-Irattos
0AuroraStar0,832.421.351,16.549.377,369-Irattos
Sladkoezhka,807.093.651,30.017.479,369-Irattos
pointy thing,760.968.935,133.528.320,369-Irattos
eSKa pl,748.842.788,59.462.981,369-Irattos
BRO Shanks,739.372.843,33.487.118,369-Irattos
Stocker and,728.526.890,33.797.818,369-Irattos
x Scarlet x,717.873.185,91.535.885,369-Irattos
Beelzebub,669.358.077,10.824.367,369-Irattos
Ghost Rabbit,663.369.434,26.217.778,369-Irattos
GG66,646.383.763,35.607.777,369-Irattos
Its Al,633.608.035,34.498.602,369-Irattos
BRO SenFour,618.030.256,28.402.151,369-Irattos
W a r d e n,604.665.967,146.738.892,369-Irattos
Killdem0n,596.893.637,48.455.671,369-Irattos
Witch King,593.586.771,25.520.629,371-Felche
Memiest,591.987.724,6.722.206,369-Irattos
angrypeasant,587.009.164,10.744.143,369-Irattos
MadMaxxxxxxx,582.310.239,20.030.276,369-Irattos
JokicMVP,579.971.898,21.007.499,369-Irattos
Gold Factory,578.116.100,16.621.157,369-Irattos
Shameeem,564.659.797,26.408.603,369-Irattos
DelemTualen,558.704.547,11.680.390,369-Irattos
Bannerlords,556.260.546,232.348.073,369-Irattos
Ertugrul Gzi,551.271.809,65.133.285,369-Irattos
kadashi21,549.953.275,47.943.127,369-Irattos
GummiMeUp,545.642.278,2.949.148,369-Irattos
exohunter,543.028.679,104.645.347,369-Irattos
SirFurking,535.636.214,60.022.760,369-Irattos
AntiDandruff,535.234.532,37.501.273,369-Irattos
AYYILDIZIM,533.691.426,134.107.241,369-Irattos
1VUK1,523.443.095,8.194.524,369-Irattos
QUIET ST0RM,515.173.289,2.900.822,369-Irattos
osama ana,504.933.832,92.147.823,369-Irattos
Dear Alina,502.291.948,2.808.024,369-Irattos
Umago,493.522.801,1.916.027,369-Irattos
0 MissPRINCE,473.886.483,30.249.132,369-Irattos
samurai3xxx,445.560.053,51.966.648,369-Irattos
BRO iChiGo,439.153.407,35.898.024,369-Irattos
matoholik,435.665.210,2.815.401,369-Irattos
Raptor 209,433.124.469,237.958.932,369-Irattos
JuSaO,433.114.735,79.593.328,369-Irattos
LUV INDIA,426.974.680,8.900.742,369-Irattos
CAPOLRI,422.115.072,178.883.680,369-Irattos
KinkyTail,421.901.447,9.529.267,369-Irattos
silent12,410.257.739,38.504.038,369-Irattos
xThe Pharaoh,404.321.407,1.937.164,369-Irattos
Alexandruson,399.979.296,8.878.427,369-Irattos
oskadonoye,378.730.943,31.837.577,369-Irattos
RESTRICTEX,374.647.183,24.977.444,369-Irattos
Not INS4NE,365.435.169,94.322.374,369-Irattos
Plyrre,343.258.611,5.669.432,369-Irattos
Amitkhemka,332.257.159,7.095.943,369-Irattos
CyC0,330.583.046,69.955.406,369-Irattos
K O N E K O,322.429.025,57.932.311,369-Irattos
DemonKillerX,256.315.039,4.820.803,369-Irattos
Beelzebub st,240.203.373,4.987.747,369-Irattos
MiniGummi,227.751.114,1.006.816,369-Irattos
ZzDevZz,224.240.690,18.570.699,369-Irattos
Legends Girl,196.593.104,753.794,369-Irattos
Al Jas Ore,160.736.021,27.348.192,369-Irattos
guildbank00,90.495.815,1.543.548,369-Irattos
Hool Ore,50.194.228,436.127,369-Irattos
Shameem STN,42.972.907,1.604.530,369-Irattos
